IVt-12,IVt-11,IVt-10,IVt-9,IVt-8,IVt-7,IVt-6,IVt-5,IVt-4,IVt-3,IVt-2,IVt-1
77.44,67.3,52.31,73.58,53.31,84.35,91.36,77.47,72.95,53.95,74.17,55.0
67.3,52.31,73.58,53.31,84.35,91.36,77.47,72.95,53.95,74.17,55.0,82.47
52.31,73.58,53.31,84.35,91.36,77.47,72.95,53.95,74.17,55.0,82.47,91.74
73.58,53.31,84.35,91.36,77.47,72.95,53.95,74.17,55.0,82.47,91.74,78.22
53.31,84.35,91.36,77.47,72.95,53.95,74.17,55.0,82.47,91.74,78.22,73.23
84.35,91.36,77.47,72.95,53.95,74.17,55.0,82.47,91.74,78.22,73.23,58.21
91.36,77.47,72.95,53.95,74.17,55.0,82.47,91.74,78.22,73.23,58.21,75.43
77.47,72.95,53.95,74.17,55.0,82.47,91.74,78.22,73.23,58.21,75.43,64.95
72.95,53.95,74.17,55.0,82.47,91.74,78.22,73.23,58.21,75.43,64.95,82.57
53.95,74.17,55.0,82.47,91.74,78.22,73.23,58.21,75.43,64.95,82.57,90.31
74.17,55.0,82.47,91.74,78.22,73.23,58.21,75.43,64.95,82.57,90.31,72.33
55.0,82.47,91.74,78.22,73.23,58.21,75.43,64.95,82.57,90.31,72.33,70.49
82.47,91.74,78.22,73.23,58.21,75.43,64.95,82.57,90.31,72.33,70.49,59.15
91.74,78.22,73.23,58.21,75.43,64.95,82.57,90.31,72.33,70.49,59.15,72.87
78.22,73.23,58.21,75.43,64.95,82.57,90.31,72.33,70.49,59.15,72.87,75.14
73.23,58.21,75.43,64.95,82.57,90.31,72.33,70.49,59.15,72.87,75.14,77.07
58.21,75.43,64.95,82.57,90.31,72.33,70.49,59.15,72.87,75.14,77.07,87.46
75.43,64.95,82.57,90.31,72.33,70.49,59.15,72.87,75.14,77.07,87.46,66.92
64.95,82.57,90.31,72.33,70.49,59.15,72.87,75.14,77.07,87.46,66.92,69.1
82.57,90.31,72.33,70.49,59.15,72.87,75.14,77.07,87.46,66.92,69.1,58.86
90.31,72.33,70.49,59.15,72.87,75.14,77.07,87.46,66.92,69.1,58.86,68.65
72.33,70.49,59.15,72.87,75.14,77.07,87.46,66.92,69.1,58.86,68.65,80.2
70.49,59.15,72.87,75.14,77.07,87.46,66.92,69.1,58.86,68.65,80.2,70.77
59.15,72.87,75.14,77.07,87.46,66.92,69.1,58.86,68.65,80.2,70.77,83.41
72.87,75.14,77.07,87.46,66.92,69.1,58.86,68.65,80.2,70.77,83.41,61.93
75.14,77.07,87.46,66.92,69.1,58.86,68.65,80.2,70.77,83.41,61.93,66.02
77.07,87.46,66.92,69.1,58.86,68.65,80.2,70.77,83.41,61.93,66.02,56.5
87.46,66.92,69.1,58.86,68.65,80.2,70.77,83.41,61.93,66.02,56.5,63.31
66.92,69.1,58.86,68.65,80.2,70.77,83.41,61.93,66.02,56.5,63.31,78.26
69.1,58.86,68.65,80.2,70.77,83.41,61.93,66.02,56.5,63.31,78.26,61.97
58.86,68.65,80.2,70.77,83.41,61.93,66.02,56.5,63.31,78.26,61.97,77.85
68.65,80.2,70.77,83.41,61.93,66.02,56.5,63.31,78.26,61.97,77.85,60.37
80.2,70.77,83.41,61.93,66.02,56.5,63.31,78.26,61.97,77.85,60.37,61.69
70.77,83.41,61.93,66.02,56.5,63.31,78.26,61.97,77.85,60.37,61.69,54.45
83.41,61.93,66.02,56.5,63.31,78.26,61.97,77.85,60.37,61.69,54.45,57.46
61.93,66.02,56.5,63.31,78.26,61.97,77.85,60.37,61.69,54.45,57.46,77.06
66.02,56.5,63.31,78.26,61.97,77.85,60.37,61.69,54.45,57.46,77.06,54.69
56.5,63.31,78.26,61.97,77.85,60.37,61.69,54.45,57.46,77.06,54.69,72.81
63.31,78.26,61.97,77.85,60.37,61.69,54.45,57.46,77.06,54.69,72.81,57.26
78.26,61.97,77.85,60.37,61.69,54.45,57.46,77.06,54.69,72.81,57.26,57.18
61.97,77.85,60.37,61.69,54.45,57.46,77.06,54.69,72.81,57.26,57.18,54.64
77.85,60.37,61.69,54.45,57.46,77.06,54.69,72.81,57.26,57.18,54.64,52.69
60.37,61.69,54.45,57.46,77.06,54.69,72.81,57.26,57.18,54.64,52.69,76.45
61.69,54.45,57.46,77.06,54.69,72.81,57.26,57.18,54.64,52.69,76.45,53.31
54.45,57.46,77.06,54.69,72.81,57.26,57.18,54.64,52.69,76.45,53.31,69.23
57.46,77.06,54.69,72.81,57.26,57.18,54.64,52.69,76.45,53.31,69.23,54.35
77.06,54.69,72.81,57.26,57.18,54.64,52.69,76.45,53.31,69.23,54.35,53.28
54.69,72.81,57.26,57.18,54.64,52.69,76.45,53.31,69.23,54.35,53.28,53.45
72.81,57.26,57.18,54.64,52.69,76.45,53.31,69.23,54.35,53.28,53.45,46.35
57.26,57.18,54.64,52.69,76.45,53.31,69.23,54.35,53.28,53.45,46.35,74.71
57.18,54.64,52.69,76.45,53.31,69.23,54.35,53.28,53.45,46.35,74.71,49.86
54.64,52.69,76.45,53.31,69.23,54.35,53.28,53.45,46.35,74.71,49.86,65.82
52.69,76.45,53.31,69.23,54.35,53.28,53.45,46.35,74.71,49.86,65.82,53.93
76.45,53.31,69.23,54.35,53.28,53.45,46.35,74.71,49.86,65.82,53.93,50.41
53.31,69.23,54.35,53.28,53.45,46.35,74.71,49.86,65.82,53.93,50.41,52.54
69.23,54.35,53.28,53.45,46.35,74.71,49.86,65.82,53.93,50.41,52.54,44.41
54.35,53.28,53.45,46.35,74.71,49.86,65.82,53.93,50.41,52.54,44.41,74.13
53.28,53.45,46.35,74.71,49.86,65.82,53.93,50.41,52.54,44.41,74.13,47.49
53.45,46.35,74.71,49.86,65.82,53.93,50.41,52.54,44.41,74.13,47.49,60.54
46.35,74.71,49.86,65.82,53.93,50.41,52.54,44.41,74.13,47.49,60.54,52.53
74.71,49.86,65.82,53.93,50.41,52.54,44.41,74.13,47.49,60.54,52.53,46.45
49.86,65.82,53.93,50.41,52.54,44.41,74.13,47.49,60.54,52.53,46.45,52.29
65.82,53.93,50.41,52.54,44.41,74.13,47.49,60.54,52.53,46.45,52.29,41.94
53.93,50.41,52.54,44.41,74.13,47.49,60.54,52.53,46.45,52.29,41.94,73.0
50.41,52.54,44.41,74.13,47.49,60.54,52.53,46.45,52.29,41.94,73.0,45.36
52.54,44.41,74.13,47.49,60.54,52.53,46.45,52.29,41.94,73.0,45.36,56.0
44.41,74.13,47.49,60.54,52.53,46.45,52.29,41.94,73.0,45.36,56.0,50.91
74.13,47.49,60.54,52.53,46.45,52.29,41.94,73.0,45.36,56.0,50.91,44.46
47.49,60.54,52.53,46.45,52.29,41.94,73.0,45.36,56.0,50.91,44.46,52.04
60.54,52.53,46.45,52.29,41.94,73.0,45.36,56.0,50.91,44.46,52.04,38.52
52.53,46.45,52.29,41.94,73.0,45.36,56.0,50.91,44.46,52.04,38.52,74.38
46.45,52.29,41.94,73.0,45.36,56.0,50.91,44.46,52.04,38.52,74.38,47.68
52.29,41.94,73.0,45.36,56.0,50.91,44.46,52.04,38.52,74.38,47.68,59.33
41.94,73.0,45.36,56.0,50.91,44.46,52.04,38.52,74.38,47.68,59.33,55.19
73.0,45.36,56.0,50.91,44.46,52.04,38.52,74.38,47.68,59.33,55.19,42.81
45.36,56.0,50.91,44.46,52.04,38.52,74.38,47.68,59.33,55.19,42.81,52.14
56.0,50.91,44.46,52.04,38.52,74.38,47.68,59.33,55.19,42.81,52.14,39.81
50.91,44.46,52.04,38.52,74.38,47.68,59.33,55.19,42.81,52.14,39.81,76.31
44.46,52.04,38.52,74.38,47.68,59.33,55.19,42.81,52.14,39.81,76.31,49.86
52.04,38.52,74.38,47.68,59.33,55.19,42.81,52.14,39.81,76.31,49.86,65.12
38.52,74.38,47.68,59.33,55.19,42.81,52.14,39.81,76.31,49.86,65.12,58.52
74.38,47.68,59.33,55.19,42.81,52.14,39.81,76.31,49.86,65.12,58.52,42.23
47.68,59.33,55.19,42.81,52.14,39.81,76.31,49.86,65.12,58.52,42.23,54.65
59.33,55.19,42.81,52.14,39.81,76.31,49.86,65.12,58.52,42.23,54.65,43.69
55.19,42.81,52.14,39.81,76.31,49.86,65.12,58.52,42.23,54.65,43.69,75.62
42.81,52.14,39.81,76.31,49.86,65.12,58.52,42.23,54.65,43.69,75.62,55.27
52.14,39.81,76.31,49.86,65.12,58.52,42.23,54.65,43.69,75.62,55.27,68.49
39.81,76.31,49.86,65.12,58.52,42.23,54.65,43.69,75.62,55.27,68.49,61.35
76.31,49.86,65.12,58.52,42.23,54.65,43.69,75.62,55.27,68.49,61.35,39.62
49.86,65.12,58.52,42.23,54.65,43.69,75.62,55.27,68.49,61.35,39.62,53.15
65.12,58.52,42.23,54.65,43.69,75.62,55.27,68.49,61.35,39.62,53.15,45.12
58.52,42.23,54.65,43.69,75.62,55.27,68.49,61.35,39.62,53.15,45.12,76.06
42.23,54.65,43.69,75.62,55.27,68.49,61.35,39.62,53.15,45.12,76.06,58.12
54.65,43.69,75.62,55.27,68.49,61.35,39.62,53.15,45.12,76.06,58.12,67.77
43.69,75.62,55.27,68.49,61.35,39.62,53.15,45.12,76.06,58.12,67.77,63.77
75.62,55.27,68.49,61.35,39.62,53.15,45.12,76.06,58.12,67.77,63.77,37.81
55.27,68.49,61.35,39.62,53.15,45.12,76.06,58.12,67.77,63.77,37.81,51.59
68.49,61.35,39.62,53.15,45.12,76.06,58.12,67.77,63.77,37.81,51.59,45.37
61.35,39.62,53.15,45.12,76.06,58.12,67.77,63.77,37.81,51.59,45.37,73.99
39.62,53.15,45.12,76.06,58.12,67.77,63.77,37.81,51.59,45.37,73.99,60.65
53.15,45.12,76.06,58.12,67.77,63.77,37.81,51.59,45.37,73.99,60.65,67.35
45.12,76.06,58.12,67.77,63.77,37.81,51.59,45.37,73.99,60.65,67.35,67.66
76.06,58.12,67.77,63.77,37.81,51.59,45.37,73.99,60.65,67.35,67.66,34.83
58.12,67.77,63.77,37.81,51.59,45.37,73.99,60.65,67.35,67.66,34.83,48.12
67.77,63.77,37.81,51.59,45.37,73.99,60.65,67.35,67.66,34.83,48.12,43.54
63.77,37.81,51.59,45.37,73.99,60.65,67.35,67.66,34.83,48.12,43.54,73.54
37.81,51.59,45.37,73.99,60.65,67.35,67.66,34.83,48.12,43.54,73.54,62.7
51.59,45.37,73.99,60.65,67.35,67.66,34.83,48.12,43.54,73.54,62.7,65.77
45.37,73.99,60.65,67.35,67.66,34.83,48.12,43.54,73.54,62.7,65.77,72.73
73.99,60.65,67.35,67.66,34.83,48.12,43.54,73.54,62.7,65.77,72.73,33.95
60.65,67.35,67.66,34.83,48.12,43.54,73.54,62.7,65.77,72.73,33.95,48.12
67.35,67.66,34.83,48.12,43.54,73.54,62.7,65.77,72.73,33.95,48.12,46.95
67.66,34.83,48.12,43.54,73.54,62.7,65.77,72.73,33.95,48.12,46.95,76.63
34.83,48.12,43.54,73.54,62.7,65.77,72.73,33.95,48.12,46.95,76.63,67.6
48.12,43.54,73.54,62.7,65.77,72.73,33.95,48.12,46.95,76.63,67.6,70.87
43.54,73.54,62.7,65.77,72.73,33.95,48.12,46.95,76.63,67.6,70.87,78.06
73.54,62.7,65.77,72.73,33.95,48.12,46.95,76.63,67.6,70.87,78.06,35.6
62.7,65.77,72.73,33.95,48.12,46.95,76.63,67.6,70.87,78.06,35.6,47.63
65.77,72.73,33.95,48.12,46.95,76.63,67.6,70.87,78.06,35.6,47.63,48.65
72.73,33.95,48.12,46.95,76.63,67.6,70.87,78.06,35.6,47.63,48.65,73.23
33.95,48.12,46.95,76.63,67.6,70.87,78.06,35.6,47.63,48.65,73.23,71.37
48.12,46.95,76.63,67.6,70.87,78.06,35.6,47.63,48.65,73.23,71.37,75.14
46.95,76.63,67.6,70.87,78.06,35.6,47.63,48.65,73.23,71.37,75.14,78.02
76.63,67.6,70.87,78.06,35.6,47.63,48.65,73.23,71.37,75.14,78.02,41.04
67.6,70.87,78.06,35.6,47.63,48.65,73.23,71.37,75.14,78.02,41.04,48.7
70.87,78.06,35.6,47.63,48.65,73.23,71.37,75.14,78.02,41.04,48.7,49.82
78.06,35.6,47.63,48.65,73.23,71.37,75.14,78.02,41.04,48.7,49.82,72.34
35.6,47.63,48.65,73.23,71.37,75.14,78.02,41.04,48.7,49.82,72.34,73.92
47.63,48.65,73.23,71.37,75.14,78.02,41.04,48.7,49.82,72.34,73.92,75.16
48.65,73.23,71.37,75.14,78.02,41.04,48.7,49.82,72.34,73.92,75.16,69.86
73.23,71.37,75.14,78.02,41.04,48.7,49.82,72.34,73.92,75.16,69.86,41.51
71.37,75.14,78.02,41.04,48.7,49.82,72.34,73.92,75.16,69.86,41.51,49.57
75.14,78.02,41.04,48.7,49.82,72.34,73.92,75.16,69.86,41.51,49.57,51.27
78.02,41.04,48.7,49.82,72.34,73.92,75.16,69.86,41.51,49.57,51.27,65.84
41.04,48.7,49.82,72.34,73.92,75.16,69.86,41.51,49.57,51.27,65.84,70.49
48.7,49.82,72.34,73.92,75.16,69.86,41.51,49.57,51.27,65.84,70.49,74.99
49.82,72.34,73.92,75.16,69.86,41.51,49.57,51.27,65.84,70.49,74.99,66.09
72.34,73.92,75.16,69.86,41.51,49.57,51.27,65.84,70.49,74.99,66.09,42.59
73.92,75.16,69.86,41.51,49.57,51.27,65.84,70.49,74.99,66.09,42.59,52.85
75.16,69.86,41.51,49.57,51.27,65.84,70.49,74.99,66.09,42.59,52.85,53.62
69.86,41.51,49.57,51.27,65.84,70.49,74.99,66.09,42.59,52.85,53.62,61.67
41.51,49.57,51.27,65.84,70.49,74.99,66.09,42.59,52.85,53.62,61.67,69.84
49.57,51.27,65.84,70.49,74.99,66.09,42.59,52.85,53.62,61.67,69.84,81.01
51.27,65.84,70.49,74.99,66.09,42.59,52.85,53.62,61.67,69.84,81.01,49.07
65.84,70.49,74.99,66.09,42.59,52.85,53.62,61.67,69.84,81.01,49.07,47.19
70.49,74.99,66.09,42.59,52.85,53.62,61.67,69.84,81.01,49.07,47.19,60.49
74.99,66.09,42.59,52.85,53.62,61.67,69.84,81.01,49.07,47.19,60.49,64.6
66.09,42.59,52.85,53.62,61.67,69.84,81.01,49.07,47.19,60.49,64.6,70.8
42.59,52.85,53.62,61.67,69.84,81.01,49.07,47.19,60.49,64.6,70.8,62.63
52.85,53.62,61.67,69.84,81.01,49.07,47.19,60.49,64.6,70.8,62.63,81.78
53.62,61.67,69.84,81.01,49.07,47.19,60.49,64.6,70.8,62.63,81.78,46.47
61.67,69.84,81.01,49.07,47.19,60.49,64.6,70.8,62.63,81.78,46.47,49.66
69.84,81.01,49.07,47.19,60.49,64.6,70.8,62.63,81.78,46.47,49.66,60.2
81.01,49.07,47.19,60.49,64.6,70.8,62.63,81.78,46.47,49.66,60.2,66.73
49.07,47.19,60.49,64.6,70.8,62.63,81.78,46.47,49.66,60.2,66.73,68.85
47.19,60.49,64.6,70.8,62.63,81.78,46.47,49.66,60.2,66.73,68.85,65.26
60.49,64.6,70.8,62.63,81.78,46.47,49.66,60.2,66.73,68.85,65.26,80.06
64.6,70.8,62.63,81.78,46.47,49.66,60.2,66.73,68.85,65.26,80.06,54.96
70.8,62.63,81.78,46.47,49.66,60.2,66.73,68.85,65.26,80.06,54.96,54.98
62.63,81.78,46.47,49.66,60.2,66.73,68.85,65.26,80.06,54.96,54.98,58.59
81.78,46.47,49.66,60.2,66.73,68.85,65.26,80.06,54.96,54.98,58.59,70.02
46.47,49.66,60.2,66.73,68.85,65.26,80.06,54.96,54.98,58.59,70.02,64.52
49.66,60.2,66.73,68.85,65.26,80.06,54.96,54.98,58.59,70.02,64.52,73.22
60.2,66.73,68.85,65.26,80.06,54.96,54.98,58.59,70.02,64.52,73.22,77.32
66.73,68.85,65.26,80.06,54.96,54.98,58.59,70.02,64.52,73.22,77.32,58.09
68.85,65.26,80.06,54.96,54.98,58.59,70.02,64.52,73.22,77.32,58.09,60.4
65.26,80.06,54.96,54.98,58.59,70.02,64.52,73.22,77.32,58.09,60.4,54.45
80.06,54.96,54.98,58.59,70.02,64.52,73.22,77.32,58.09,60.4,54.45,62.82
54.96,54.98,58.59,70.02,64.52,73.22,77.32,58.09,60.4,54.45,62.82,60.66
54.98,58.59,70.02,64.52,73.22,77.32,58.09,60.4,54.45,62.82,60.66,67.93
58.59,70.02,64.52,73.22,77.32,58.09,60.4,54.45,62.82,60.66,67.93,77.28
70.02,64.52,73.22,77.32,58.09,60.4,54.45,62.82,60.66,67.93,77.28,57.41
64.52,73.22,77.32,58.09,60.4,54.45,62.82,60.66,67.93,77.28,57.41,54.38
73.22,77.32,58.09,60.4,54.45,62.82,60.66,67.93,77.28,57.41,54.38,48.23
77.32,58.09,60.4,54.45,62.82,60.66,67.93,77.28,57.41,54.38,48.23,57.11
58.09,60.4,54.45,62.82,60.66,67.93,77.28,57.41,54.38,48.23,57.11,57.01
60.4,54.45,62.82,60.66,67.93,77.28,57.41,54.38,48.23,57.11,57.01,68.95
54.45,62.82,60.66,67.93,77.28,57.41,54.38,48.23,57.11,57.01,68.95,85.14
62.82,60.66,67.93,77.28,57.41,54.38,48.23,57.11,57.01,68.95,85.14,67.77
60.66,67.93,77.28,57.41,54.38,48.23,57.11,57.01,68.95,85.14,67.77,43.48
67.93,77.28,57.41,54.38,48.23,57.11,57.01,68.95,85.14,67.77,43.48,41.58
77.28,57.41,54.38,48.23,57.11,57.01,68.95,85.14,67.77,43.48,41.58,57.09
57.41,54.38,48.23,57.11,57.01,68.95,85.14,67.77,43.48,41.58,57.09,57.28
54.38,48.23,57.11,57.01,68.95,85.14,67.77,43.48,41.58,57.09,57.28,71.51
48.23,57.11,57.01,68.95,85.14,67.77,43.48,41.58,57.09,57.28,71.51,85.89
57.11,57.01,68.95,85.14,67.77,43.48,41.58,57.09,57.28,71.51,85.89,70.34
57.01,68.95,85.14,67.77,43.48,41.58,57.09,57.28,71.51,85.89,70.34,47.34
68.95,85.14,67.77,43.48,41.58,57.09,57.28,71.51,85.89,70.34,47.34,42.64
85.14,67.77,43.48,41.58,57.09,57.28,71.51,85.89,70.34,47.34,42.64,57.51
67.77,43.48,41.58,57.09,57.28,71.51,85.89,70.34,47.34,42.64,57.51,58.1
43.48,41.58,57.09,57.28,71.51,85.89,70.34,47.34,42.64,57.51,58.1,76.67
41.58,57.09,57.28,71.51,85.89,70.34,47.34,42.64,57.51,58.1,76.67,83.95
57.09,57.28,71.51,85.89,70.34,47.34,42.64,57.51,58.1,76.67,83.95,69.57
57.28,71.51,85.89,70.34,47.34,42.64,57.51,58.1,76.67,83.95,69.57,49.1
71.51,85.89,70.34,47.34,42.64,57.51,58.1,76.67,83.95,69.57,49.1,44.79
85.89,70.34,47.34,42.64,57.51,58.1,76.67,83.95,69.57,49.1,44.79,57.41
70.34,47.34,42.64,57.51,58.1,76.67,83.95,69.57,49.1,44.79,57.41,59.43
