DVt-12,DVt-11,DVt-10,DVt-9,DVt-8,DVt-7,DVt-6,DVt-5,DVt-4,DVt-3,DVt-2,DVt-1
30.17,33.54,32.29833333,42.13,26.84,38.82,21.49,29.47,34.24,32.37333333,42.06,31.43
33.54,32.29833333,42.13,26.84,38.82,21.49,29.47,34.24,32.37333333,42.06,31.43,35.55
32.29833333,42.13,26.84,38.82,21.49,29.47,34.24,32.37333333,42.06,31.43,35.55,21.09
42.13,26.84,38.82,21.49,29.47,34.24,32.37333333,42.06,31.43,35.55,21.09,28.36
26.84,38.82,21.49,29.47,34.24,32.37333333,42.06,31.43,35.55,21.09,28.36,32.26
38.82,21.49,29.47,34.24,32.37333333,42.06,31.43,35.55,21.09,28.36,32.26,32.555
21.49,29.47,34.24,32.37333333,42.06,31.43,35.55,21.09,28.36,32.26,32.555,39.81
29.47,34.24,32.37333333,42.06,31.43,35.55,21.09,28.36,32.26,32.555,39.81,38.51
34.24,32.37333333,42.06,31.43,35.55,21.09,28.36,32.26,32.555,39.81,38.51,35.3
32.37333333,42.06,31.43,35.55,21.09,28.36,32.26,32.555,39.81,38.51,35.3,20.39
42.06,31.43,35.55,21.09,28.36,32.26,32.555,39.81,38.51,35.3,20.39,28.2
31.43,35.55,21.09,28.36,32.26,32.555,39.81,38.51,35.3,20.39,28.2,30.1
35.55,21.09,28.36,32.26,32.555,39.81,38.51,35.3,20.39,28.2,30.1,32.695
21.09,28.36,32.26,32.555,39.81,38.51,35.3,20.39,28.2,30.1,32.695,37.33
28.36,32.26,32.555,39.81,38.51,35.3,20.39,28.2,30.1,32.695,37.33,44.81
32.26,32.555,39.81,38.51,35.3,20.39,28.2,30.1,32.695,37.33,44.81,35.34
32.555,39.81,38.51,35.3,20.39,28.2,30.1,32.695,37.33,44.81,35.34,20.26
39.81,38.51,35.3,20.39,28.2,30.1,32.695,37.33,44.81,35.34,20.26,24.7
38.51,35.3,20.39,28.2,30.1,32.695,37.33,44.81,35.34,20.26,24.7,33.65
35.3,20.39,28.2,30.1,32.695,37.33,44.81,35.34,20.26,24.7,33.65,34.59
20.39,28.2,30.1,32.695,37.33,44.81,35.34,20.26,24.7,33.65,34.59,41.46
28.2,30.1,32.695,37.33,44.81,35.34,20.26,24.7,33.65,34.59,41.46,48.86
30.1,32.695,37.33,44.81,35.34,20.26,24.7,33.65,34.59,41.46,48.86,38.61
32.695,37.33,44.81,35.34,20.26,24.7,33.65,34.59,41.46,48.86,38.61,22.42
37.33,44.81,35.34,20.26,24.7,33.65,34.59,41.46,48.86,38.61,22.42,25.76
44.81,35.34,20.26,24.7,33.65,34.59,41.46,48.86,38.61,22.42,25.76,38.71
35.34,20.26,24.7,33.65,34.59,41.46,48.86,38.61,22.42,25.76,38.71,36.64666667
20.26,24.7,33.65,34.59,41.46,48.86,38.61,22.42,25.76,38.71,36.64666667,41.79
24.7,33.65,34.59,41.46,48.86,38.61,22.42,25.76,38.71,36.64666667,41.79,49.67
33.65,34.59,41.46,48.86,38.61,22.42,25.76,38.71,36.64666667,41.79,49.67,41.53
34.59,41.46,48.86,38.61,22.42,25.76,38.71,36.64666667,41.79,49.67,41.53,24.76
41.46,48.86,38.61,22.42,25.76,38.71,36.64666667,41.79,49.67,41.53,24.76,28.11
48.86,38.61,22.42,25.76,38.71,36.64666667,41.79,49.67,41.53,24.76,28.11,42.89
38.61,22.42,25.76,38.71,36.64666667,41.79,49.67,41.53,24.76,28.11,42.89,39.155
22.42,25.76,38.71,36.64666667,41.79,49.67,41.53,24.76,28.11,42.89,39.155,42.7
25.76,38.71,36.64666667,41.79,49.67,41.53,24.76,28.11,42.89,39.155,42.7,52.82
38.71,36.64666667,41.79,49.67,41.53,24.76,28.11,42.89,39.155,42.7,52.82,43.65
36.64666667,41.79,49.67,41.53,24.76,28.11,42.89,39.155,42.7,52.82,43.65,26.55
41.79,49.67,41.53,24.76,28.11,42.89,39.155,42.7,52.82,43.65,26.55,31.11
49.67,41.53,24.76,28.11,42.89,39.155,42.7,52.82,43.65,26.55,31.11,45.67
41.53,24.76,28.11,42.89,39.155,42.7,52.82,43.65,26.55,31.11,45.67,42.09166667
24.76,28.11,42.89,39.155,42.7,52.82,43.65,26.55,31.11,45.67,42.09166667,43.03
28.11,42.89,39.155,42.7,52.82,43.65,26.55,31.11,45.67,42.09166667,43.03,60.62
42.89,39.155,42.7,52.82,43.65,26.55,31.11,45.67,42.09166667,43.03,60.62,45.57
39.155,42.7,52.82,43.65,26.55,31.11,45.67,42.09166667,43.03,60.62,45.57,28.15
42.7,52.82,43.65,26.55,31.11,45.67,42.09166667,43.03,60.62,45.57,28.15,34.4
52.82,43.65,26.55,31.11,45.67,42.09166667,43.03,60.62,45.57,28.15,34.4,48.56
43.65,26.55,31.11,45.67,42.09166667,43.03,60.62,45.57,28.15,34.4,48.56,44.60166667
26.55,31.11,45.67,42.09166667,43.03,60.62,45.57,28.15,34.4,48.56,44.60166667,43.59
31.11,45.67,42.09166667,43.03,60.62,45.57,28.15,34.4,48.56,44.60166667,43.59,65.85
45.67,42.09166667,43.03,60.62,45.57,28.15,34.4,48.56,44.60166667,43.59,65.85,47.06
42.09166667,43.03,60.62,45.57,28.15,34.4,48.56,44.60166667,43.59,65.85,47.06,29.72
43.03,60.62,45.57,28.15,34.4,48.56,44.60166667,43.59,65.85,47.06,29.72,37.51
60.62,45.57,28.15,34.4,48.56,44.60166667,43.59,65.85,47.06,29.72,37.51,51.45
45.57,28.15,34.4,48.56,44.60166667,43.59,65.85,47.06,29.72,37.51,51.45,46.5
28.15,34.4,48.56,44.60166667,43.59,65.85,47.06,29.72,37.51,51.45,46.5,44.09
34.4,48.56,44.60166667,43.59,65.85,47.06,29.72,37.51,51.45,46.5,44.09,68.78
48.56,44.60166667,43.59,65.85,47.06,29.72,37.51,51.45,46.5,44.09,68.78,47.45
44.60166667,43.59,65.85,47.06,29.72,37.51,51.45,46.5,44.09,68.78,47.45,31.51
43.59,65.85,47.06,29.72,37.51,51.45,46.5,44.09,68.78,47.45,31.51,38.35
65.85,47.06,29.72,37.51,51.45,46.5,44.09,68.78,47.45,31.51,38.35,53.42
47.06,29.72,37.51,51.45,46.5,44.09,68.78,47.45,31.51,38.35,53.42,47.71666667
29.72,37.51,51.45,46.5,44.09,68.78,47.45,31.51,38.35,53.42,47.71666667,44.74
37.51,51.45,46.5,44.09,68.78,47.45,31.51,38.35,53.42,47.71666667,44.74,70.19
51.45,46.5,44.09,68.78,47.45,31.51,38.35,53.42,47.71666667,44.74,70.19,48.09
46.5,44.09,68.78,47.45,31.51,38.35,53.42,47.71666667,44.74,70.19,48.09,33.3
44.09,68.78,47.45,31.51,38.35,53.42,47.71666667,44.74,70.19,48.09,33.3,37.19
68.78,47.45,31.51,38.35,53.42,47.71666667,44.74,70.19,48.09,33.3,37.19,54.24
47.45,31.51,38.35,53.42,47.71666667,44.74,70.19,48.09,33.3,37.19,54.24,48.02333333
31.51,38.35,53.42,47.71666667,44.74,70.19,48.09,33.3,37.19,54.24,48.02333333,43.87
38.35,53.42,47.71666667,44.74,70.19,48.09,33.3,37.19,54.24,48.02333333,43.87,70.36
53.42,47.71666667,44.74,70.19,48.09,33.3,37.19,54.24,48.02333333,43.87,70.36,49.18
47.71666667,44.74,70.19,48.09,33.3,37.19,54.24,48.02333333,43.87,70.36,49.18,34.87
44.74,70.19,48.09,33.3,37.19,54.24,48.02333333,43.87,70.36,49.18,34.87,36.26
70.19,48.09,33.3,37.19,54.24,48.02333333,43.87,70.36,49.18,34.87,36.26,53.88
48.09,33.3,37.19,54.24,48.02333333,43.87,70.36,49.18,34.87,36.26,53.88,48.555
33.3,37.19,54.24,48.02333333,43.87,70.36,49.18,34.87,36.26,53.88,48.555,45.15
37.19,54.24,48.02333333,43.87,70.36,49.18,34.87,36.26,53.88,48.555,45.15,70.61
54.24,48.02333333,43.87,70.36,49.18,34.87,36.26,53.88,48.555,45.15,70.61,50.56
48.02333333,43.87,70.36,49.18,34.87,36.26,53.88,48.555,45.15,70.61,50.56,36.91
43.87,70.36,49.18,34.87,36.26,53.88,48.555,45.15,70.61,50.56,36.91,38.83
70.36,49.18,34.87,36.26,53.88,48.555,45.15,70.61,50.56,36.91,38.83,53.94
49.18,34.87,36.26,53.88,48.555,45.15,70.61,50.56,36.91,38.83,53.94,49.93333333
34.87,36.26,53.88,48.555,45.15,70.61,50.56,36.91,38.83,53.94,49.93333333,46.13
36.26,53.88,48.555,45.15,70.61,50.56,36.91,38.83,53.94,49.93333333,46.13,71.04
53.88,48.555,45.15,70.61,50.56,36.91,38.83,53.94,49.93333333,46.13,71.04,52.75
48.555,45.15,70.61,50.56,36.91,38.83,53.94,49.93333333,46.13,71.04,52.75,37.22
45.15,70.61,50.56,36.91,38.83,53.94,49.93333333,46.13,71.04,52.75,37.22,35.31
70.61,50.56,36.91,38.83,53.94,49.93333333,46.13,71.04,52.75,37.22,35.31,52.43
50.56,36.91,38.83,53.94,49.93333333,46.13,71.04,52.75,37.22,35.31,52.43,48.92333333
36.91,38.83,53.94,49.93333333,46.13,71.04,52.75,37.22,35.31,52.43,48.92333333,47.5
38.83,53.94,49.93333333,46.13,71.04,52.75,37.22,35.31,52.43,48.92333333,47.5,68.25
53.94,49.93333333,46.13,71.04,52.75,37.22,35.31,52.43,48.92333333,47.5,68.25,52.83
49.93333333,46.13,71.04,52.75,37.22,35.31,52.43,48.92333333,47.5,68.25,52.83,36.69
46.13,71.04,52.75,37.22,35.31,52.43,48.92333333,47.5,68.25,52.83,36.69,32.08
71.04,52.75,37.22,35.31,52.43,48.92333333,47.5,68.25,52.83,36.69,32.08,50.87
52.75,37.22,35.31,52.43,48.92333333,47.5,68.25,52.83,36.69,32.08,50.87,47.79833333
37.22,35.31,52.43,48.92333333,47.5,68.25,52.83,36.69,32.08,50.87,47.79833333,48.71
35.31,52.43,48.92333333,47.5,68.25,52.83,36.69,32.08,50.87,47.79833333,48.71,66.51
52.43,48.92333333,47.5,68.25,52.83,36.69,32.08,50.87,47.79833333,48.71,66.51,51.93
48.92333333,47.5,68.25,52.83,36.69,32.08,50.87,47.79833333,48.71,66.51,51.93,35.51
47.5,68.25,52.83,36.69,32.08,50.87,47.79833333,48.71,66.51,51.93,35.51,33.22
68.25,52.83,36.69,32.08,50.87,47.79833333,48.71,66.51,51.93,35.51,33.22,50.15
52.83,36.69,32.08,50.87,47.79833333,48.71,66.51,51.93,35.51,33.22,50.15,47.58833333
36.69,32.08,50.87,47.79833333,48.71,66.51,51.93,35.51,33.22,50.15,47.58833333,45.02
32.08,50.87,47.79833333,48.71,66.51,51.93,35.51,33.22,50.15,47.58833333,45.02,69.58
50.87,47.79833333,48.71,66.51,51.93,35.51,33.22,50.15,47.58833333,45.02,69.58,52.05
47.79833333,48.71,66.51,51.93,35.51,33.22,50.15,47.58833333,45.02,69.58,52.05,36.42
48.71,66.51,51.93,35.51,33.22,50.15,47.58833333,45.02,69.58,52.05,36.42,31.57
66.51,51.93,35.51,33.22,50.15,47.58833333,45.02,69.58,52.05,36.42,31.57,49.12
51.93,35.51,33.22,50.15,47.58833333,45.02,69.58,52.05,36.42,31.57,49.12,47.57
35.51,33.22,50.15,47.58833333,45.02,69.58,52.05,36.42,31.57,49.12,47.57,46.31
33.22,50.15,47.58833333,45.02,69.58,52.05,36.42,31.57,49.12,47.57,46.31,70.53
50.15,47.58833333,45.02,69.58,52.05,36.42,31.57,49.12,47.57,46.31,70.53,51.47
47.58833333,45.02,69.58,52.05,36.42,31.57,49.12,47.57,46.31,70.53,51.47,38.16
45.02,69.58,52.05,36.42,31.57,49.12,47.57,46.31,70.53,51.47,38.16,30.57
69.58,52.05,36.42,31.57,49.12,47.57,46.31,70.53,51.47,38.16,30.57,49.45
52.05,36.42,31.57,49.12,47.57,46.31,70.53,51.47,38.16,30.57,49.45,47.18333333
36.42,31.57,49.12,47.57,46.31,70.53,51.47,38.16,30.57,49.45,47.18333333,46.16
31.57,49.12,47.57,46.31,70.53,51.47,38.16,30.57,49.45,47.18333333,46.16,69.48
49.12,47.57,46.31,70.53,51.47,38.16,30.57,49.45,47.18333333,46.16,69.48,49.28
47.57,46.31,70.53,51.47,38.16,30.57,49.45,47.18333333,46.16,69.48,49.28,39.23
46.31,70.53,51.47,38.16,30.57,49.45,47.18333333,46.16,69.48,49.28,39.23,29.2
70.53,51.47,38.16,30.57,49.45,47.18333333,46.16,69.48,49.28,39.23,29.2,48.71
51.47,38.16,30.57,49.45,47.18333333,46.16,69.48,49.28,39.23,29.2,48.71,45.60666667
38.16,30.57,49.45,47.18333333,46.16,69.48,49.28,39.23,29.2,48.71,45.60666667,43.89
30.57,49.45,47.18333333,46.16,69.48,49.28,39.23,29.2,48.71,45.60666667,43.89,61.54
49.45,47.18333333,46.16,69.48,49.28,39.23,29.2,48.71,45.60666667,43.89,61.54,51.07
47.18333333,46.16,69.48,49.28,39.23,29.2,48.71,45.60666667,43.89,61.54,51.07,38.61
46.16,69.48,49.28,39.23,29.2,48.71,45.60666667,43.89,61.54,51.07,38.61,28.11
69.48,49.28,39.23,29.2,48.71,45.60666667,43.89,61.54,51.07,38.61,28.11,46.3
49.28,39.23,29.2,48.71,45.60666667,43.89,61.54,51.07,38.61,28.11,46.3,41.665
39.23,29.2,48.71,45.60666667,43.89,61.54,51.07,38.61,28.11,46.3,41.665,42.44
29.2,48.71,45.60666667,43.89,61.54,51.07,38.61,28.11,46.3,41.665,42.44,45.65
48.71,45.60666667,43.89,61.54,51.07,38.61,28.11,46.3,41.665,42.44,45.65,48.88
45.60666667,43.89,61.54,51.07,38.61,28.11,46.3,41.665,42.44,45.65,48.88,38.21
43.89,61.54,51.07,38.61,28.11,46.3,41.665,42.44,45.65,48.88,38.21,26.67
61.54,51.07,38.61,28.11,46.3,41.665,42.44,45.65,48.88,38.21,26.67,43.14
51.07,38.61,28.11,46.3,41.665,42.44,45.65,48.88,38.21,26.67,43.14,38.67333333
38.61,28.11,46.3,41.665,42.44,45.65,48.88,38.21,26.67,43.14,38.67333333,38.61
28.11,46.3,41.665,42.44,45.65,48.88,38.21,26.67,43.14,38.67333333,38.61,36.88
46.3,41.665,42.44,45.65,48.88,38.21,26.67,43.14,38.67333333,38.61,36.88,48.53
41.665,42.44,45.65,48.88,38.21,26.67,43.14,38.67333333,38.61,36.88,48.53,39.88
42.44,45.65,48.88,38.21,26.67,43.14,38.67333333,38.61,36.88,48.53,39.88,31.52
45.65,48.88,38.21,26.67,43.14,38.67333333,38.61,36.88,48.53,39.88,31.52,40.08
48.88,38.21,26.67,43.14,38.67333333,38.61,36.88,48.53,39.88,31.52,40.08,40.48833333
38.21,26.67,43.14,38.67333333,38.61,36.88,48.53,39.88,31.52,40.08,40.48833333,38.09
26.67,43.14,38.67333333,38.61,36.88,48.53,39.88,31.52,40.08,40.48833333,38.09,50.08
43.14,38.67333333,38.61,36.88,48.53,39.88,31.52,40.08,40.48833333,38.09,50.08,43.28
38.67333333,38.61,36.88,48.53,39.88,31.52,40.08,40.48833333,38.09,50.08,43.28,40.13
38.61,36.88,48.53,39.88,31.52,40.08,40.48833333,38.09,50.08,43.28,40.13,32.96
36.88,48.53,39.88,31.52,40.08,40.48833333,38.09,50.08,43.28,40.13,32.96,40.51
48.53,39.88,31.52,40.08,40.48833333,38.09,50.08,43.28,40.13,32.96,40.51,41.885
39.88,31.52,40.08,40.48833333,38.09,50.08,43.28,40.13,32.96,40.51,41.885,40.28
31.52,40.08,40.48833333,38.09,50.08,43.28,40.13,32.96,40.51,41.885,40.28,51.54
40.08,40.48833333,38.09,50.08,43.28,40.13,32.96,40.51,41.885,40.28,51.54,45.89
40.48833333,38.09,50.08,43.28,40.13,32.96,40.51,41.885,40.28,51.54,45.89,28.33
38.09,50.08,43.28,40.13,32.96,40.51,41.885,40.28,51.54,45.89,28.33,23.53
50.08,43.28,40.13,32.96,40.51,41.885,40.28,51.54,45.89,28.33,23.53,39.22
43.28,40.13,32.96,40.51,41.885,40.28,51.54,45.89,28.33,23.53,39.22,36.51
40.13,32.96,40.51,41.885,40.28,51.54,45.89,28.33,23.53,39.22,36.51,45.76
32.96,40.51,41.885,40.28,51.54,45.89,28.33,23.53,39.22,36.51,45.76,41.51
40.51,41.885,40.28,51.54,45.89,28.33,23.53,39.22,36.51,45.76,41.51,40.71
41.885,40.28,51.54,45.89,28.33,23.53,39.22,36.51,45.76,41.51,40.71,29.28
40.28,51.54,45.89,28.33,23.53,39.22,36.51,45.76,41.51,40.71,29.28,19.1
51.54,45.89,28.33,23.53,39.22,36.51,45.76,41.51,40.71,29.28,19.1,38.2
45.89,28.33,23.53,39.22,36.51,45.76,41.51,40.71,29.28,19.1,38.2,36.03166667
28.33,23.53,39.22,36.51,45.76,41.51,40.71,29.28,19.1,38.2,36.03166667,45.9
23.53,39.22,36.51,45.76,41.51,40.71,29.28,19.1,38.2,36.03166667,45.9,41.49
39.22,36.51,45.76,41.51,40.71,29.28,19.1,38.2,36.03166667,45.9,41.49,42.22
36.51,45.76,41.51,40.71,29.28,19.1,38.2,36.03166667,45.9,41.49,42.22,30.33
45.76,41.51,40.71,29.28,19.1,38.2,36.03166667,45.9,41.49,42.22,30.33,20.2
41.51,40.71,29.28,19.1,38.2,36.03166667,45.9,41.49,42.22,30.33,20.2,36.56
40.71,29.28,19.1,38.2,36.03166667,45.9,41.49,42.22,30.33,20.2,36.56,37.215
29.28,19.1,38.2,36.03166667,45.9,41.49,42.22,30.33,20.2,36.56,37.215,41.84
19.1,38.2,36.03166667,45.9,41.49,42.22,30.33,20.2,36.56,37.215,41.84,51.92
38.2,36.03166667,45.9,41.49,42.22,30.33,20.2,36.56,37.215,41.84,51.92,42.44
36.03166667,45.9,41.49,42.22,30.33,20.2,36.56,37.215,41.84,51.92,42.44,29.63
45.9,41.49,42.22,30.33,20.2,36.56,37.215,41.84,51.92,42.44,29.63,18.06
41.49,42.22,30.33,20.2,36.56,37.215,41.84,51.92,42.44,29.63,18.06,36.26
42.22,30.33,20.2,36.56,37.215,41.84,51.92,42.44,29.63,18.06,36.26,38.88
30.33,20.2,36.56,37.215,41.84,51.92,42.44,29.63,18.06,36.26,38.88,41.21
20.2,36.56,37.215,41.84,51.92,42.44,29.63,18.06,36.26,38.88,41.21,58.23
36.56,37.215,41.84,51.92,42.44,29.63,18.06,36.26,38.88,41.21,58.23,49.89
37.215,41.84,51.92,42.44,29.63,18.06,36.26,38.88,41.21,58.23,49.89,27.11
41.84,51.92,42.44,29.63,18.06,36.26,38.88,41.21,58.23,49.89,27.11,18.1
51.92,42.44,29.63,18.06,36.26,38.88,41.21,58.23,49.89,27.11,18.1,34.04
42.44,29.63,18.06,36.26,38.88,41.21,58.23,49.89,27.11,18.1,34.04,37.72333333
29.63,18.06,36.26,38.88,41.21,58.23,49.89,27.11,18.1,34.04,37.72333333,34.56
18.06,36.26,38.88,41.21,58.23,49.89,27.11,18.1,34.04,37.72333333,34.56,59.18
36.26,38.88,41.21,58.23,49.89,27.11,18.1,34.04,37.72333333,34.56,59.18,53.35
38.88,41.21,58.23,49.89,27.11,18.1,34.04,37.72333333,34.56,59.18,53.35,21.48
41.21,58.23,49.89,27.11,18.1,34.04,37.72333333,34.56,59.18,53.35,21.48,16.09
58.23,49.89,27.11,18.1,34.04,37.72333333,34.56,59.18,53.35,21.48,16.09,24.54
49.89,27.11,18.1,34.04,37.72333333,34.56,59.18,53.35,21.48,16.09,24.54,29.83166667
27.11,18.1,34.04,37.72333333,34.56,59.18,53.35,21.48,16.09,24.54,29.83166667,28.65
18.1,34.04,37.72333333,34.56,59.18,53.35,21.48,16.09,24.54,29.83166667,28.65,59.52
34.04,37.72333333,34.56,59.18,53.35,21.48,16.09,24.54,29.83166667,28.65,59.52,28.71
37.72333333,34.56,59.18,53.35,21.48,16.09,24.54,29.83166667,28.65,59.52,28.71,21.85
34.56,59.18,53.35,21.48,16.09,24.54,29.83166667,28.65,59.52,28.71,21.85,16.42
59.18,53.35,21.48,16.09,24.54,29.83166667,28.65,59.52,28.71,21.85,16.42,24.62
53.35,21.48,16.09,24.54,29.83166667,28.65,59.52,28.71,21.85,16.42,24.62,30.29
21.48,16.09,24.54,29.83166667,28.65,59.52,28.71,21.85,16.42,24.62,30.29,25.82
16.09,24.54,29.83166667,28.65,59.52,28.71,21.85,16.42,24.62,30.29,25.82,61.71
24.54,29.83166667,28.65,59.52,28.71,21.85,16.42,24.62,30.29,25.82,61.71,31.32
29.83166667,28.65,59.52,28.71,21.85,16.42,24.62,30.29,25.82,61.71,31.32,22.05
28.65,59.52,28.71,21.85,16.42,24.62,30.29,25.82,61.71,31.32,22.05,17.05
59.52,28.71,21.85,16.42,24.62,30.29,25.82,61.71,31.32,22.05,17.05,26.52
28.71,21.85,16.42,24.62,30.29,25.82,61.71,31.32,22.05,17.05,26.52,33.03333333
21.85,16.42,24.62,30.29,25.82,61.71,31.32,22.05,17.05,26.52,33.03333333,23.84
16.42,24.62,30.29,25.82,61.71,31.32,22.05,17.05,26.52,33.03333333,23.84,63.37
